,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
951,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,malaysia
952,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,malaysia
953,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,malaysia
954,Circles,Post Malone,dfw rap,2019,12/31/1969,120,76,70,-3,9,55,215,19,4,99,malaysia
956,everything i wanted,Billie Eilish,electropop,2019,12/31/1969,120,23,70,-14,11,24,245,90,10,98,malaysia
958,Don't Start Now,Dua Lipa,dance pop,2019,12/31/1969,124,79,79,-5,10,68,183,1,8,97,malaysia
959,Lose You To Love Me,Selena Gomez,dance pop,2019,12/31/1969,102,34,51,-9,21,9,206,58,4,97,malaysia
960,Someone You Loved,Lewis Capaldi,pop,2019,12/31/1969,110,41,50,-6,11,45,182,75,3,96,malaysia
961,hot girl bummer,blackbear,pop,2019,12/31/1969,130,56,78,-7,40,68,185,13,8,96,malaysia
962,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,12/31/1969,171,80,51,-4,9,35,202,0,6,96,malaysia
963,bad guy,Billie Eilish,electropop,2019,12/31/1969,135,43,70,-11,10,56,194,33,38,96,malaysia
966,How Do You Sleep?,Sam Smith,pop,2019,12/31/1969,111,68,48,-5,8,35,202,15,9,93,malaysia
967,"10,000 Hours (with Justin Bieber)",Dan + Shay,contemporary country,2019,12/31/1969,90,63,65,-5,11,43,168,15,3,93,malaysia
969,Trampoline (with ZAYN),SHAED,electropop,2019,12/31/1969,127,46,62,-6,14,50,184,56,3,92,malaysia
971,Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,12/31/1969,150,65,55,-4,10,16,175,46,8,92,malaysia
974,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,12/31/1969,105,49,72,-6,9,38,171,2,3,91,malaysia
975,It's You,Ali Gatie,canadian hip hop,2019,12/31/1969,96,46,73,-7,19,40,213,37,3,90,malaysia
976,No Idea,Don Toliver,rap,2019,12/31/1969,128,61,66,-5,22,35,154,56,10,90,malaysia
977,Señorita,Shawn Mendes,canadian pop,2019,12/31/1969,117,55,76,-6,8,75,191,4,3,89,malaysia
978,Mean It,Lauv,pop,2019,12/31/1969,96,45,75,-9,17,34,233,4,9,89,malaysia
979,Into the Unknown,Idina Menzel,hollywood,2019,12/31/1969,145,41,32,-9,14,27,195,85,4,88,malaysia
980,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,12/31/1969,90,52,76,-4,7,93,158,53,6,88,malaysia
981,Falling,Harry Styles,dance pop,2019,12/31/1969,110,27,57,-7,9,6,240,84,3,88,malaysia
982,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,pop,2019,12/31/1969,205,60,45,-7,9,42,221,43,6,88,malaysia
983,I.F.L.Y.,Bazzi,pop,2019,12/31/1969,105,52,81,-5,13,55,166,38,4,87,malaysia
984,Adore You,Harry Styles,dance pop,2019,12/31/1969,99,77,68,-4,10,57,207,2,5,87,malaysia
985,Boy With Luv (feat. Halsey),BTS,k-pop,2019,12/31/1969,120,86,65,-5,19,80,230,9,10,87,malaysia
986,Watermelon Sugar,Harry Styles,dance pop,2019,12/31/1969,95,82,55,-4,34,56,174,12,5,86,malaysia
987,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,12/31/1969,93,65,64,-8,8,55,198,12,19,86,malaysia
991,Takeaway,The Chainsmokers,electropop,2019,12/31/1969,100,51,53,-8,10,35,210,13,3,83,malaysia
993,Before You Go,Lewis Capaldi,pop,2019,12/31/1969,112,57,46,-5,9,18,215,60,6,82,malaysia
994,I Love You 3000,Stephanie Poetri,indonesian pop,2019,12/31/1969,90,38,65,-8,39,41,210,91,4,79,malaysia
995,Psycho,Red Velvet,k-pop,2019,12/31/1969,140,67,66,-2,9,41,211,19,4,75,malaysia
996,Feelings,Lauv,pop,2019,12/31/1969,103,47,69,-7,10,25,190,9,4,73,malaysia
997,Mimpi (feat. Alif),K-Clique,malaysian indie,2019,12/31/1969,150,73,83,-7,10,87,253,53,29,66,malaysia
998,Cinta Luar Biasa,Andmesh,indonesian pop,2019,12/31/1969,136,23,58,-12,10,32,256,81,3,66,malaysia
999,Haa Tepok,MeerFly,malaysian hip hop,2019,12/31/1969,87,50,85,-12,15,68,211,66,31,65,malaysia
1000,Hanya Rindu,Andmesh,indonesian pop,2019,12/31/1969,179,16,28,-12,11,20,252,89,3,65,malaysia
