Region,Streams,Track Name,Artist,acousticness,danceability,duration_ms,energy,key,top genre,liveness,instrumentalness,loudness,mode,popularity,valence,tempo,speechiness
Argentina,6130355393,12960,12960,0.3130612836046937,0.6903498674744499,217643.26088602803,0.5633460810299136,7.0,latin,0.18131658462703687,0.030664936482392973,-7.183960999621387,0.5819765240439227,76.12381673608482,0.4998100340780007,118.54176751230558,0.11884430140098408
Austria,951839187,13887,13887,0.3789367826347313,0.6246385229540952,196711.42954091815,0.5586551497006008,1.0,pop,0.17228550898203873,0.013874497171656664,-7.145170259481026,0.6930139720558882,71.16566866267465,0.5120232335329278,124.31529441117483,0.09048790419161608
Belgium,1488201124,14871,14871,0.3575525125000077,0.6278073814655146,202691.93049568965,0.5677066675646546,1.0,pop,0.17727508081896612,0.022677083801185313,-7.093925646551789,0.6609644396551724,72.95366379310344,0.49866515355602387,122.08529566271258,0.09201411637930879
Bolivia,387999918,13748,13748,0.32419572814998676,0.6850432864626423,214988.064791839,0.5760675489385206,1.0,latin,0.1542467328370562,0.02116381672732283,-6.813428728977152,0.6032533774469259,74.66611524676041,0.5307112765370844,123.14911772814928,0.10796465398400869
Brazil,12737714153,11924,11924,0.3604075107102588,0.6656116121758784,209658.1798196167,0.5326042841037196,1.0,pop,0.17149453213077662,0.02830767737880507,-7.101187711386706,0.54847801578354,80.70180383314543,0.49356792559189017,121.73018940248029,0.11366741826380986
Bulgaria,108135054,13966,13966,0.3172708268243163,0.6649920208907576,198517.72087625126,0.5735665022486639,1.0,pop,0.1806414188307,0.019305619358769694,-6.934921804729504,0.5978528942405339,75.24358044392862,0.4777039460321954,123.77559524154739,0.11353725518641936
Canada,7729077937,16054,16054,0.3386502311991413,0.6481764878909672,196418.50710854004,0.5679986959505853,1.0,adult standards,0.1743022845377005,0.013583015880968698,-7.225650161780643,0.664967153642514,71.63084616138838,0.5010751544268973,122.4134950485327,0.10429128345916168
Chile,6498091753,13147,13147,0.2833861445261785,0.7058303764604149,213936.90653396797,0.5980363479013436,1.0,latin,0.16467165729121597,0.031072345080052084,-6.773036347901371,0.524881003894418,76.57031588057119,0.4898780181739534,122.86596495023731,0.13852094331458267
Colombia,1930853993,13809,13809,0.32847211913954744,0.7008913403199133,217142.14258135686,0.5907614451185886,1.0,latin,0.14901944291230107,0.018649429120242776,-6.56828019856593,0.6230005515719801,75.77220077220078,0.5699290126861547,120.3778063982346,0.1064590182018755
Global,176933889409,16495,16495,0.35684490401097796,0.6527888241343857,198062.3558450463,0.5589708604730856,1.0,latin,0.17485817620843522,0.015628599339503977,-7.156058164781246,0.6452976802651126,72.9377214032682,0.4960665638212695,121.47315209689957,0.10475557079190814
Great Britain,14374858089,15282,15282,0.3465194806076739,0.620980319944756,203695.8298998734,0.5830710208309378,1.0,pop,0.17390182989987232,0.01448621227413968,-7.233816319484493,0.6959373921049603,70.49856139947059,0.5174846817815556,121.96744677177688,0.0854366210150752
Switzerland,1326043729,15208,15208,0.374261428501395,0.6347966988069951,197590.25935610392,0.5551943454812949,1.0,pop,0.17808084654355588,0.020584834935446945,-7.108047883641125,0.6644876613825789,71.88870730511522,0.502283608432743,123.60894214740647,0.09006076156234596
United States of America,51178561584,15780,15780,0.3360069196628129,0.6651300020312835,192384.06357911843,0.5607712065813566,1.0,adult standards,0.16892237456835332,0.01418984045906979,-7.251565001015709,0.6397521836278692,72.30743449116393,0.48315982124719603,123.26764381474675,0.11998444038188052
